id,name,che_number,region_town,region_canton,regionId,recipientIds,grantIds,scope1Ids,scope2Ids,innochainIds,educhainIds,coords,website
640,Fondation Felicia,CHE-257.023.206,Genève,Genève,6,3,"1,2","1,2",2,1,8,"46.2038339,6.1559117",
641,U21Education Foundation,CHE-286.179.477,Zürich,Zürich,5,1,4,2,"1,2",,"2,3,4,5,6","47.3693159,8.5397229",
642,"Fondation les pierres, le regard et la nature",CHE-113.907.370,Ménières,Fribourg,4,1,"2,4","1,2",2,1,"1,2,3,4,5,6,7,8","46.7855588,6.8860951",
643,Zürcher Stiftung für Textil-Forschung,CHE-101.728.719,Winterthur,Zürich,4,"1,2,3,4",2,1,2,"2,3,4",,"47.4852218,8.7067133",
644,"STIFTUNG EUROPÄISCHES INSTITUT FÜR ÖKOLOGIE UND GESUNDHEIT, ZÜRICH",CHE-115.374.303,Zürich,Zürich,5,"1,2,3,4","1,2,3","1,2",2,2,8,"47.3818149,8.5353261",
645,International Academy for Multilingual Education and Talent Development in Liquidation,CHE-115.274.966,Zürich,Zürich,5,"2,3","1,2","1,2","1,2","1,2","1,2,3,4,5,6,7,8","47.3700589,8.5450156",
646,Berufsbildungsstiftung der VSSM-Fachgruppe Holzgerätebau,CHE-101.953.357,Zürich,Zürich,4,1,4,2,2,,7,"47.3800956,8.5539911",
647,Bernische Radium-Stiftung,CHE-114.757.357,Bern,Bern,4,"1,2,3,4","2,5",1,2,"1,2",,"46.9477341,7.4247622",
648,Fondation Bernard,CHE-300.099.595,Lausanne,Vaud,5,3,2,"1,2",2,1,8,"46.5181993,6.6379201",
649,Stiftung Monte Mediterráneo,CHE-113.778.144,Chur,Graubünden,5,1,4,2,2,,8,"46.8479578,9.5324903",http://www.fundacionmontemediterraneo.com/
650,Fondazione Istituto Leonardo da Vinci,CHE-112.641.459,Lugano,Ticino,5,2,1,2,"1,2",,"2,3,4","46.0006980,8.9491683",http://ldavinci.org/chi-siamo.html
651,Anna-Maria-Wili-Stiftung,CHE-109.599.035,Kriens,Luzern,5,"1,2","2,4","1,2","1,2","1,2","4,5,6,8","47.0354069,8.2882523",
652,Stiftung Umweltbildung und Tourismus Uri-Gotthard,CHE-109.810.359,Göschenen,Uri,2,"1,2,3,4",2,2,2,,"1,2,3,4,5,6,7,8","46.6682035,8.5867271",
653,Brodtbeck Philanthropy Foundation,CHE-169.875.575,Pratteln,Basel-Landschaft,5,"1,3","1,2",2,2,,"4,5,6","47.5256049,7.6838713",
654,Kodu Stiftung,CHE-110.192.278,Schwyz,Schwyz,4,"2,3","2,3","1,2",2,"1,2","5,6","47.0212859,8.6509289",
655,Bristol-Stiftung,CHE-104.066.642,Zürich,Zürich,5,3,1,1,2,"1,2,3,4,5,6",,"47.3642174,8.5490462",http://www.bristol-stiftung.ch/
656,Stiftung Green Ethiopia,CHE-111.702.265,Winterthur,Zürich,5,2,3,2,2,,"2,3,4,5,6,7,8","47.4832253,8.7761976",http://www.greenethiopia.org/cms/de/
