id,name,che_number,region_town,region_canton,regionId,recipientIds,grantIds,scope1Ids,scope2Ids,innochainIds,educhainIds,coords,website
1690,Fondation ARPE,CHE-114.692.752,Zürich,Zürich,5,"1,3","1,4,5","1,2",2,2,"4,5,6","47.3659875,8.5355839",http://www.fondationarpe.com/en/home/
1691,Charlotte und Nelly Dornacher Stiftung,CHE-114.697.927,Chur,Graubünden,2,"1,3","1,2,4","1,2",2,"1,2",8,"46.8525666,9.5324073",
1697,The World Jewellery Confederation Educational Foundation - WJCEF,CHE-114.736.444,Bern,Bern,5,4,2,2,2,,8,"46.9485796,7.4467135",http://www.sustainablejewellery.org/index.php?option=com_content&view=article&id=3&Itemid=3
1700,JAF Foundation (Switzerland),CHE-114.742.924,Basel,Basel-Stadt,5,"1,2,3","2,4",2,2,,"1,2,3,4,5,6,8","47.5526712,7.5854740",
1701,International Golf and Life Foundation,CHE-114.751.774,St-Sulpice VD,Vaud,5,4,"1,2",2,2,,8,"46.5102829,6.5570161",
1703,Bernische Radium-Stiftung,CHE-114.757.357,Bern,Bern,4,"1,2,3,4","2,5",1,2,"1,2",,"46.9477341,7.4247622",
1705,Venusstiftung,CHE-114.759.617,Riken AG,Aargau,5,1,3,2,2,,8,"47.2718033,7.8494454",
1711,Fondation Ashoka Suisse (Ashoka Switzerland Foundation),CHE-114.842.017,Genève,Genève,5,1,4,"1,2",2,"2,3,4,5,6",8,"46.1997408,6.1681874",https://www.ashoka.org
1716,Martinshorn Foundation,CHE-114.874.951,Frauenfeld,Thurgau,5,4,"2,3,4",2,2,,"2,3,4,5,6,7,8","47.5513446,8.9148069",
1717,PORISTES STIFTUNG,CHE-114.886.753,Bern,Bern,5,"1,2,3","1,2,4","1,2","1,2","1,2","1,2,3","46.9485099,7.4469210",
1721,Foundation Ithaka Institute,CHE-114.920.048,Arbaz,Valais,6,"1,2,3,4",2,1,"1,2","2,3,4,5,6",,"46.2736178,7.3851224",http://www.ithaka-institut.org/en/home
1725,Stiftung Jeruel,CHE-114.971.844,Langnau im Emmental,Bern,5,"2,3","1,2",2,2,,"1,2,3,4,5,6,7","46.9429820,7.7808962",http://www.jeruel.net/cms/
1726,FONDATION PAUL DUBRULE,CHE-114.982.658,Genève,Genève,4,"1,2,3,4",2,"1,2","1,2",1,8,"46.1992477,6.1418140",
1735,Hurt-Stiftung,CHE-115.066.787,Ennetbürgen,Nidwalden,4,1,4,"1,2",2,"2,3,4,5,6",8,"46.9853085,8.4081028",http://hurt-stiftung.org/
1739,Stiftung M.A. Center Switzerland,CHE-115.082.645,Flaach,Zürich,5,"1,2,3","2,4",2,2,,"2,3,4,8","47.5749750,8.5813080",http://www.ziegelhuette.ch/
1742,Stiftung zukunft-fertig-los,CHE-115.106.168,Meggen,Luzern,6,4,1,1,"1,2","1,2,3,4,5,6",,"47.0443609,8.3650842",
